"","id","name","type","score2011","rank2011","score2009","rank2009","change","rankchange","nameWordCount","hasAcademy"
"218",1296,"Davisville Junior Public School","Elementary",0.5737,218,0.5197,238,0.0539999999999999,-20,4,FALSE
"219",96,"Donview Middle School","Elementary",0.573,219,0.5758,213,-0.00280000000000002,6,3,FALSE
"220",1159,"George Peck Public School","Elementary",0.5724,220,0.5617,219,0.0107,1,4,FALSE
"221",1182,"J S Woodsworth Senior Public School","Elementary",0.5687,221,0.558,221,0.0106999999999999,0,6,FALSE
"222",1147,"Edgewood Public School","Elementary",0.5687,222,0.6367,176,-0.0680000000000001,46,3,FALSE
"223",1247,"Tom Longboat Junior Public School","Elementary",0.5665,223,0.621,188,-0.0545,35,5,FALSE
"224",80,"Cresthaven Public School","Elementary",0.5658,224,0.621,187,-0.0552,37,3,FALSE
"225",1037,"David Hornell Junior School","Elementary",0.5585,225,0.5031,249,0.0554,-24,4,FALSE
"226",1119,"Brooks Road Public School","Elementary",0.5525,226,0.5138,239,0.0387,-13,4,FALSE
"227",1153,"Fleming Public School","Elementary",0.5518,227,0.5522,225,-0.000400000000000067,2,3,FALSE
"228",1198,"Malvern Junior Public School","Elementary",0.5509,228,0.5416,228,0.00929999999999997,0,4,FALSE
"229",1193,"Lord Roberts Junior Public School","Elementary",0.5499,229,0.6244,185,-0.0744999999999999,44,5,FALSE
"230",20,"Ranchdale Public School","Elementary",0.5446,230,0.4228,234,0.1218,-4,3,FALSE
"231",1078,"Seventh Street Junior School","Elementary",0.5437,231,0.4703,262,0.0734,-31,4,FALSE
"232",1150,"Emily Carr Public School","Elementary",0.5436,232,0.5343,231,0.00929999999999997,1,4,FALSE
"233",1158,"George P Mackie Junior Public School","Elementary",0.538,233,0.6021,198,-0.0640999999999999,35,6,FALSE
"234",1222,"Regent Heights Public School","Elementary",0.5377,234,0.5693,215,-0.0316000000000001,19,4,FALSE
"235",228,"Pineway Public School","Elementary",0.536,235,0.3918,308,0.1442,-73,3,FALSE
"236",1045,"George R Gauld Junior School","Elementary",0.5312,236,0.558,222,-0.0268,14,5,FALSE
"237",1021,"Selwyn Elementary School","Elementary",0.5299,237,0.3629,329,0.167,-92,3,FALSE
"238",1047,"Highfield Junior School","Elementary",0.5298,238,0.5864,206,-0.0566,32,3,FALSE
"239",1196,"Lynnwood Heights Junior Public School","Elementary",0.5294,239,0.578,211,-0.0486,28,5,FALSE
"240",1229,"Silver Springs Public School","Elementary",0.5266,240,0.6024,197,-0.0758000000000001,43,4,FALSE
"241",1306,"Earl Haig Junior Public School","Elementary",0.526,241,0.5842,209,-0.0582,32,5,FALSE
"242",1081,"Smithfield Middle School","Elementary",0.5259,242,0.5092,244,0.0167,-2,3,FALSE
"243",223,"Park Lane Public School","Elementary",0.5252,243,0.5054,247,0.0198,-4,4,FALSE
"244",1054,"John D Parker Junior School","Elementary",0.5247,244,0.5498,226,-0.0250999999999999,18,5,FALSE
"245",1144,"Dr Marion Hilliard Senior Public School","Elementary",0.5234,245,0.5546,223,-0.0312,22,6,FALSE
"246",1167,"Heather Heights Junior Public School","Elementary",0.5187,246,0.5868,205,-0.0680999999999999,41,5,FALSE
"247",1176,"Inglewood Heights Junior Public School","Elementary",0.5177,247,0.5859,207,-0.0681999999999999,40,5,FALSE
"248",1122,"C D Farquharson Junior Public School","Elementary",0.5144,248,0.5666,217,-0.0522,31,6,FALSE
"249",1199,"Manhattan Park Junior Public School","Elementary",0.5139,249,0.5711,214,-0.0572,35,5,FALSE
"250",1218,"Poplar Road Junior Public School","Elementary",0.5105,250,0.5122,240,-0.00170000000000003,10,5,FALSE
"251",1173,"Highland Creek Public School","Elementary",0.5057,251,0.5096,242,-0.00390000000000001,9,4,FALSE
"252",1369,"Niagara Street Junior Public School","Elementary",0.5036,252,0.4504,269,0.0532,-17,5,FALSE
"253",1030,"Bloorlea Middle School","Elementary",0.5031,253,0.4751,258,0.028,-5,3,FALSE
"254",184,"Kingslake Public School","Elementary",0.5022,254,0.4228,288,0.0794,-34,3,FALSE
"255",316,"Fisherville Middle School","Elementary",0.5018,255,0.4743,259,0.0275,-4,3,FALSE
"256",38,"Broadlands Public School","Elementary",0.4999,256,0.4489,270,0.051,-14,3,FALSE
"257",95,"Don Mills Middle School","Elementary",0.4979,257,0.4285,283,0.0694,-26,4,FALSE
